month,port,destination_country,volume_tons,freight_rate_usd_per_ton,vessel_type,incoterm
2024-01-01,Sao Francisco do Sul,Turkey,16833,36.76,Supramax,CIF
2024-01-01,Sao Francisco do Sul,Egypt,18648,32.67,Panamax,CFR
2024-01-01,Sao Francisco do Sul,Mexico,16206,41.84,Handymax,CFR
2024-01-01,Barcarena,China,55742,47.1,Supramax,CFR
2024-01-01,Barcarena,Netherlands,9880,30.07,Handymax,FOB
2024-01-01,Barcarena,Spain,17776,36.85,Panamax,CFR
2024-01-01,Barcarena,Thailand,14173,35.0,Kamsarmax,CFR
2024-01-01,Barcarena,Turkey,12551,30.94,Kamsarmax,CIF
2024-01-01,Barcarena,Egypt,15897,31.07,Handymax,CFR
2024-01-01,Barcarena,Mexico,7180,35.68,Kamsarmax,CIF
2024-02-01,Santos,Netherlands,82714,27.18,Handymax,FOB
2024-02-01,Santos,Spain,13241,36.57,Handymax,CIF
2024-02-01,Santos,Thailand,11580,35.09,Panamax,CFR
2024-02-01,Santos,Vietnam,45337,30.15,Panamax,CFR
2024-02-01,Santos,Turkey,18825,31.93,Supramax,CFR
2024-02-01,Santos,Egypt,42601,31.96,Panamax,CFR
2024-02-01,Santos,Mexico,32151,37.02,Panamax,CIF
2024-02-01,Paranagua,China,135533,41.98,Panamax,CIF
2024-02-01,Paranagua,Netherlands,55889,27.33,Supramax,FOB
2024-02-01,Paranagua,Spain,35969,28.45,Supramax,FOB
2024-02-01,Paranagua,Thailand,9336,38.97,Panamax,FOB
2024-02-01,Paranagua,Vietnam,32930,42.18,Kamsarmax,CIF
2024-02-01,Paranagua,Turkey,18752,28.92,Handymax,FOB
2024-02-01,Paranagua,Egypt,41074,31.2,Kamsarmax,FOB
2024-02-01,Paranagua,Mexico,32655,32.24,Panamax,CFR
2024-02-01,Rio Grande,China,55861,46.72,Panamax,FOB
2024-02-01,Rio Grande,Spain,29409,25.64,Handymax,CFR
2024-02-01,Rio Grande,Thailand,40645,31.04,Panamax,CIF
2024-02-01,Rio Grande,Vietnam,13794,32.49,Kamsarmax,FOB
2024-02-01,Rio Grande,Turkey,25103,36.12,Supramax,FOB
2024-02-01,Rio Grande,Egypt,9912,31.09,Supramax,CIF
2024-02-01,Rio Grande,Mexico,6656,36.16,Panamax,FOB
2024-02-01,Itaqui,China,69314,48.08,Supramax,FOB
2024-02-01,Itaqui,Netherlands,33721,27.19,Panamax,CFR
2024-02-01,Itaqui,Spain,25920,28.26,Panamax,FOB
2024-02-01,Itaqui,Thailand,16001,33.67,Supramax,CIF
2024-02-01,Itaqui,Vietnam,24880,43.58,Handymax,CFR
2024-02-01,Itaqui,Turkey,29131,32.89,Handymax,CFR
2024-02-01,Itaqui,Egypt,6815,31.7,Panamax,CIF
2024-02-01,Itaqui,Mexico,22947,38.3,Kamsarmax,FOB
2024-02-01,Sao Francisco do Sul,China,67574,45.11,Panamax,FOB
2024-02-01,Sao Francisco do Sul,Netherlands,24839,31.38,Supramax,CFR
2024-02-01,Sao Francisco do Sul,Thailand,15001,34.78,Panamax,FOB
2024-02-01,Sao Francisco do Sul,Vietnam,8465,42.38,Panamax,CFR
2024-02-01,Sao Francisco do Sul,Egypt,8760,26.57,Handymax,CIF
2024-02-01,Sao Francisco do Sul,Mexico,8631,31.26,Handymax,CFR
2024-02-01,Barcarena,China,54178,38.39,Panamax,FOB
2024-02-01,Barcarena,Netherlands,38112,35.56,Handymax,CIF
2024-02-01,Barcarena,Spain,11109,30.57,Supramax,FOB
2024-02-01,Barcarena,Thailand,14440,30.73,Handymax,CFR
2024-02-01,Barcarena,Turkey,13267,25.72,Kamsarmax,CFR
2024-02-01,Barcarena,Egypt,15817,29.28,Handymax,FOB
2024-02-01,Barcarena,Mexico,13840,43.36,Kamsarmax,FOB
2024-03-01,Santos,China,167417,47.87,Supramax,FOB
2024-03-01,Santos,Netherlands,71444,26.2,Supramax,CFR
2024-03-01,Santos,Spain,87177,37.06,Panamax,FOB
2024-03-01,Santos,Turkey,57026,28.0,Panamax,FOB
2024-03-01,Santos,Egypt,67864,34.27,Kamsarmax,CIF
2024-03-01,Santos,Mexico,50575,32.15,Kamsarmax,CFR
2024-03-01,Paranagua,China,61333,38.07,Supramax,CIF
2024-03-01,Paranagua,Netherlands,61066,30.64,Handymax,CFR
2024-03-01,Paranagua,Spain,38781,35.9,Panamax,FOB
2024-03-01,Paranagua,Thailand,35922,38.11,Panamax,CFR
2024-03-01,Paranagua,Vietnam,49024,41.44,Kamsarmax,FOB
2024-03-01,Paranagua,Turkey,58733,34.6,Handymax,FOB
2024-03-01,Paranagua,Mexico,20673,34.88,Kamsarmax,CIF
2024-03-01,Rio Grande,Spain,15540,30.18,Supramax,CIF
2024-03-01,Rio Grande,Thailand,24984,36.55,Supramax,CIF
2024-03-01,Rio Grande,Vietnam,53823,43.02,Kamsarmax,CIF
2024-03-01,Rio Grande,Turkey,39910,27.61,Panamax,CIF
2024-03-01,Rio Grande,Egypt,16202,34.24,Supramax,CFR
2024-03-01,Rio Grande,Mexico,15468,38.87,Kamsarmax,CIF
2024-03-01,Itaqui,China,86122,45.43,Kamsarmax,CIF
2024-03-01,Itaqui,Netherlands,50787,29.76,Kamsarmax,FOB
2024-03-01,Itaqui,Thailand,51049,30.2,Kamsarmax,CFR
2024-03-01,Itaqui,Vietnam,36571,29.73,Panamax,CIF
2024-03-01,Itaqui,Turkey,31466,28.38,Kamsarmax,CIF
2024-03-01,Itaqui,Egypt,38795,25.82,Supramax,CIF
2024-03-01,Itaqui,Mexico,36864,41.59,Handymax,CIF
2024-03-01,Sao Francisco do Sul,China,90245,40.43,Handymax,CIF
2024-03-01,Sao Francisco do Sul,Spain,9036,27.01,Panamax,CIF
2024-03-01,Sao Francisco do Sul,Thailand,37874,36.71,Supramax,FOB
2024-03-01,Sao Francisco do Sul,Vietnam,33741,40.13,Panamax,CFR
2024-03-01,Sao Francisco do Sul,Egypt,25087,28.61,Panamax,CFR
2024-03-01,Barcarena,Spain,50969,30.84,Kamsarmax,CIF
2024-03-01,Barcarena,Turkey,37124,35.75,Handymax,CFR
2024-03-01,Barcarena,Egypt,32425,26.92,Kamsarmax,CFR
2024-03-01,Barcarena,Mexico,9828,41.1,Handymax,CIF
2024-04-01,Santos,China,225622,40.5,Panamax,CIF
2024-04-01,Santos,Netherlands,50622,28.4,Kamsarmax,CIF
2024-04-01,Santos,Spain,91663,27.44,Kamsarmax,CFR
2024-04-01,Santos,Thailand,120530,36.19,Handymax,CFR
2024-04-01,Santos,Vietnam,57418,35.19,Kamsarmax,FOB
2024-04-01,Santos,Turkey,61991,32.41,Supramax,FOB
2024-04-01,Santos,Egypt,49774,35.22,Kamsarmax,CIF
2024-04-01,Santos,Mexico,54569,32.04,Supramax,CIF
2024-04-01,Paranagua,China,90200,43.64,Handymax,CFR
2024-04-01,Paranagua,Netherlands,60499,29.69,Supramax,FOB
2024-04-01,Paranagua,Spain,63569,27.41,Handymax,CIF
2024-04-01,Paranagua,Thailand,47621,37.99,Panamax,CFR
2024-04-01,Paranagua,Vietnam,51225,29.89,Supramax,CFR
2024-04-01,Paranagua,Turkey,33749,26.67,Panamax,CFR
2024-04-01,Paranagua,Egypt,51033,30.82,Panamax,CIF
2024-04-01,Paranagua,Mexico,46154,35.49,Supramax,FOB
2024-04-01,Rio Grande,China,91566,36.59,Handymax,CIF
2024-04-01,Rio Grande,Netherlands,21195,29.28,Kamsarmax,CIF
2024-04-01,Rio Grande,Spain,25963,29.13,Kamsarmax,CIF
2024-04-01,Rio Grande,Vietnam,30734,31.95,Kamsarmax,CIF
2024-04-01,Rio Grande,Egypt,35209,31.61,Kamsarmax,FOB
2024-04-01,Rio Grande,Mexico,36283,35.74,Panamax,CFR
2024-04-01,Itaqui,China,106305,50.66,Supramax,FOB
2024-04-01,Itaqui,Spain,20679,29.17,Kamsarmax,FOB
2024-04-01,Itaqui,Thailand,49909,35.8,Handymax,FOB
2024-04-01,Itaqui,Vietnam,12038,34.33,Kamsarmax,CIF
2024-04-01,Itaqui,Turkey,30114,31.56,Handymax,CFR
2024-04-01,Itaqui,Egypt,41653,37.32,Handymax,CFR
2024-04-01,Itaqui,Mexico,13467,38.79,Handymax,CFR
2024-04-01,Sao Francisco do Sul,China,126038,37.44,Supramax,CIF
2024-04-01,Sao Francisco do Sul,Netherlands,37711,34.79,Supramax,CIF
2024-04-01,Sao Francisco do Sul,Spain,39190,28.62,Handymax,CFR
2024-04-01,Sao Francisco do Sul,Thailand,55324,29.6,Supramax,CFR
2024-04-01,Sao Francisco do Sul,Vietnam,24431,38.15,Kamsarmax,CIF
2024-04-01,Sao Francisco do Sul,Turkey,9238,29.6,Panamax,FOB
2024-04-01,Barcarena,China,130477,47.37,Supramax,FOB
2024-04-01,Barcarena,Netherlands,35071,35.13,Kamsarmax,FOB
2024-04-01,Barcarena,Spain,43415,35.11,Handymax,FOB
2024-04-01,Barcarena,Vietnam,63843,33.87,Panamax,CFR
2024-04-01,Barcarena,Egypt,49843,31.39,Panamax,FOB
2024-04-01,Barcarena,Mexico,46676,32.82,Kamsarmax,FOB
2024-05-01,Santos,China,327157,36.65,Supramax,FOB
2024-05-01,Santos,Spain,36723,31.67,Kamsarmax,CFR
2024-05-01,Santos,Thailand,58802,35.17,Supramax,CIF
2024-05-01,Santos,Vietnam,46054,39.28,Supramax,CIF
2024-05-01,Santos,Turkey,76960,28.98,Kamsarmax,CFR
2024-05-01,Paranagua,China,205212,36.23,Kamsarmax,FOB
2024-05-01,Paranagua,Netherlands,27023,34.82,Panamax,CIF
2024-05-01,Paranagua,Spain,84955,27.54,Supramax,CFR
2024-05-01,Paranagua,Thailand,65527,38.53,Supramax,CIF
2024-05-01,Paranagua,Vietnam,107875,40.55,Handymax,CIF
2024-05-01,Paranagua,Turkey,95606,27.38,Kamsarmax,CIF
2024-05-01,Rio Grande,China,64098,41.05,Kamsarmax,CIF
2024-05-01,Rio Grande,Netherlands,54195,33.49,Supramax,CIF
2024-05-01,Rio Grande,Thailand,42650,36.92,Kamsarmax,CIF
2024-05-01,Rio Grande,Vietnam,12223,43.5,Supramax,CIF
2024-05-01,Rio Grande,Mexico,38602,35.16,Panamax,CIF
2024-05-01,Itaqui,China,196738,46.08,Kamsarmax,FOB
2024-05-01,Itaqui,Netherlands,68524,32.66,Panamax,FOB
2024-05-01,Itaqui,Spain,60175,37.61,Panamax,FOB
2024-05-01,Itaqui,Thailand,20340,31.88,Panamax,FOB
2024-05-01,Itaqui,Vietnam,42038,33.01,Supramax,CFR
2024-05-01,Itaqui,Mexico,40617,39.49,Kamsarmax,CIF
2024-05-01,Sao Francisco do Sul,China,74164,36.27,Panamax,CIF
2024-05-01,Sao Francisco do Sul,Netherlands,17768,31.01,Supramax,CIF
2024-05-01,Sao Francisco do Sul,Thailand,22379,43.49,Handymax,FOB
2024-05-01,Sao Francisco do Sul,Vietnam,12176,34.89,Handymax,FOB
2024-05-01,Sao Francisco do Sul,Turkey,25705,26.21,Handymax,FOB
2024-05-01,Sao Francisco do Sul,Egypt,59320,31.82,Supramax,CFR
2024-05-01,Sao Francisco do Sul,Mexico,49608,32.53,Kamsarmax,CFR
2024-05-01,Barcarena,Netherlands,24721,26.67,Kamsarmax,CFR
2024-05-01,Barcarena,Spain,72365,25.55,Supramax,CFR
2024-05-01,Barcarena,Thailand,23757,39.58,Supramax,CIF
2024-05-01,Barcarena,Vietnam,49787,30.43,Kamsarmax,FOB
2024-05-01,Barcarena,Turkey,39218,26.38,Kamsarmax,CIF
2024-05-01,Barcarena,Egypt,49690,26.99,Supramax,CIF
2024-05-01,Barcarena,Mexico,33600,37.6,Handymax,CFR
2024-06-01,Santos,China,155447,47.51,Kamsarmax,CFR
2024-06-01,Santos,Spain,58810,28.33,Kamsarmax,CFR
2024-06-01,Santos,Thailand,128308,33.57,Panamax,CIF
2024-06-01,Santos,Vietnam,100790,31.52,Kamsarmax,FOB
2024-06-01,Santos,Turkey,90256,26.93,Handymax,FOB
2024-06-01,Santos,Egypt,24566,37.36,Handymax,CFR
2024-06-01,Paranagua,China,203254,38.59,Panamax,CIF
2024-06-01,Paranagua,Netherlands,111887,33.24,Handymax,FOB
2024-06-01,Paranagua,Spain,47833,28.02,Supramax,CIF
2024-06-01,Paranagua,Thailand,54048,32.18,Panamax,CFR
2024-06-01,Paranagua,Vietnam,49734,40.03,Kamsarmax,FOB
2024-06-01,Paranagua,Egypt,19712,28.17,Kamsarmax,FOB
2024-06-01,Paranagua,Mexico,43773,43.26,Panamax,CIF
2024-06-01,Rio Grande,China,147849,48.81,Handymax,CFR
2024-06-01,Rio Grande,Netherlands,41742,30.67,Panamax,FOB
2024-06-01,Rio Grande,Spain,23927,32.27,Panamax,FOB
2024-06-01,Rio Grande,Vietnam,52980,42.18,Supramax,CFR
2024-06-01,Rio Grande,Turkey,60668,27.68,Kamsarmax,CFR
2024-06-01,Rio Grande,Mexico,27257,38.66,Handymax,CIF
2024-06-01,Itaqui,China,37157,37.35,Handymax,FOB
2024-06-01,Itaqui,Netherlands,73812,29.31,Kamsarmax,CIF
2024-06-01,Itaqui,Spain,45874,35.37,Supramax,CIF
2024-06-01,Itaqui,Thailand,55698,42.33,Handymax,CIF
2024-06-01,Itaqui,Vietnam,28209,43.29,Kamsarmax,FOB
2024-06-01,Itaqui,Turkey,48395,27.98,Kamsarmax,FOB
2024-06-01,Itaqui,Egypt,41340,33.53,Supramax,FOB
2024-06-01,Itaqui,Mexico,59482,32.42,Handymax,CFR
2024-06-01,Sao Francisco do Sul,China,69891,34.53,Handymax,CFR
2024-06-01,Sao Francisco do Sul,Netherlands,11611,30.28,Handymax,CIF
2024-06-01,Sao Francisco do Sul,Spain,58133,37.3,Kamsarmax,FOB
2024-06-01,Sao Francisco do Sul,Thailand,31205,42.73,Panamax,CFR
2024-06-01,Sao Francisco do Sul,Vietnam,14876,41.54,Kamsarmax,FOB
2024-06-01,Sao Francisco do Sul,Turkey,12595,33.64,Handymax,CIF
2024-06-01,Sao Francisco do Sul,Mexico,38785,41.83,Panamax,CFR
2024-06-01,Barcarena,China,92252,35.52,Panamax,CFR
2024-06-01,Barcarena,Netherlands,47925,32.13,Panamax,CIF
2024-06-01,Barcarena,Spain,58884,31.12,Panamax,FOB
2024-06-01,Barcarena,Thailand,42912,33.44,Supramax,CIF
2024-06-01,Barcarena,Vietnam,34674,36.12,Kamsarmax,FOB
2024-06-01,Barcarena,Egypt,44789,26.07,Handymax,CFR
2024-06-01,Barcarena,Mexico,8240,31.46,Handymax,CIF
2024-07-01,Santos,China,206076,50.96,Panamax,FOB
2024-07-01,Santos,Netherlands,62297,29.46,Supramax,CIF
2024-07-01,Santos,Spain,51669,34.2,Supramax,CFR
2024-07-01,Santos,Thailand,84552,35.63,Handymax,CFR
2024-07-01,Santos,Vietnam,25616,38.8,Kamsarmax,CIF
2024-07-01,Santos,Egypt,63295,28.98,Panamax,FOB
2024-07-01,Santos,Mexico,42895,39.22,Handymax,CIF
2024-07-01,Paranagua,Netherlands,48057,30.84,Kamsarmax,FOB
2024-07-01,Paranagua,Spain,37154,36.51,Panamax,FOB
2024-07-01,Paranagua,Thailand,31283,39.45,Supramax,FOB
2024-07-01,Paranagua,Vietnam,19604,41.34,Supramax,CFR
2024-07-01,Paranagua,Turkey,41831,26.01,Kamsarmax,FOB
2024-07-01,Paranagua,Egypt,32484,33.0,Panamax,CIF
2024-07-01,Paranagua,Mexico,13539,40.05,Panamax,CFR
2024-07-01,Rio Grande,Netherlands,75739,30.5,Panamax,FOB
2024-07-01,Rio Grande,Spain,20414,30.25,Supramax,FOB
2024-07-01,Rio Grande,Thailand,24175,38.17,Kamsarmax,CFR
2024-07-01,Rio Grande,Vietnam,54567,43.68,Supramax,CFR
2024-07-01,Rio Grande,Turkey,22793,36.8,Handymax,CIF
2024-07-01,Rio Grande,Egypt,36153,29.81,Panamax,CFR
2024-07-01,Rio Grande,Mexico,43233,37.26,Handymax,CIF
2024-07-01,Itaqui,China,46189,49.54,Supramax,CFR
2024-07-01,Itaqui,Netherlands,57362,31.91,Handymax,CFR
2024-07-01,Itaqui,Spain,52712,28.22,Kamsarmax,CFR
2024-07-01,Itaqui,Thailand,15896,32.94,Panamax,FOB
2024-07-01,Itaqui,Vietnam,40285,42.11,Kamsarmax,CIF
2024-07-01,Itaqui,Egypt,53683,26.19,Kamsarmax,FOB
2024-07-01,Itaqui,Mexico,33855,34.22,Handymax,CIF
2024-07-01,Sao Francisco do Sul,China,47075,37.0,Panamax,CFR
2024-07-01,Sao Francisco do Sul,Netherlands,38228,27.8,Kamsarmax,CFR
2024-07-01,Sao Francisco do Sul,Spain,23052,29.04,Handymax,FOB
2024-07-01,Sao Francisco do Sul,Thailand,32350,41.43,Panamax,FOB
2024-07-01,Sao Francisco do Sul,Turkey,11354,28.28,Kamsarmax,CIF
2024-07-01,Sao Francisco do Sul,Egypt,13801,29.39,Panamax,CFR
2024-07-01,Barcarena,China,53281,45.61,Handymax,CIF
2024-07-01,Barcarena,Netherlands,39952,31.2,Panamax,FOB
2024-07-01,Barcarena,Spain,23734,33.71,Handymax,CFR
2024-07-01,Barcarena,Vietnam,20900,31.98,Handymax,CFR
2024-07-01,Barcarena,Turkey,32458,28.58,Handymax,CFR
2024-07-01,Barcarena,Egypt,38656,34.61,Handymax,CIF
2024-08-01,Santos,China,147291,45.24,Panamax,FOB
2024-08-01,Santos,Netherlands,70243,35.45,Supramax,CIF
2024-08-01,Santos,Spain,14203,37.22,Supramax,FOB
2024-08-01,Santos,Thailand,72185,32.72,Supramax,CFR
2024-08-01,Santos,Vietnam,21729,36.37,Handymax,FOB
2024-08-01,Santos,Turkey,22974,34.78,Kamsarmax,CFR
2024-08-01,Santos,Egypt,13205,25.64,Handymax,CIF
2024-08-01,Santos,Mexico,48954,42.32,Handymax,CIF
2024-08-01,Paranagua,China,35782,38.48,Handymax,CIF
2024-08-01,Paranagua,Netherlands,24337,34.23,Supramax,CFR
2024-08-01,Paranagua,Thailand,70368,43.51,Supramax,CFR
2024-08-01,Paranagua,Vietnam,56933,39.0,Kamsarmax,CIF
2024-08-01,Paranagua,Turkey,38215,33.02,Handymax,CIF
2024-08-01,Paranagua,Egypt,45669,33.59,Supramax,CIF
2024-08-01,Rio Grande,China,81251,48.24,Panamax,CIF
2024-08-01,Rio Grande,Netherlands,48021,37.58,Handymax,CFR
2024-08-01,Rio Grande,Spain,15432,37.52,Supramax,CIF
2024-08-01,Rio Grande,Thailand,30835,33.25,Panamax,CIF
2024-08-01,Rio Grande,Vietnam,31030,35.41,Panamax,FOB
2024-08-01,Rio Grande,Turkey,39054,31.97,Handymax,FOB
2024-08-01,Rio Grande,Egypt,29500,31.31,Handymax,FOB
2024-08-01,Rio Grande,Mexico,38585,36.57,Panamax,CIF
2024-08-01,Itaqui,China,70058,49.97,Handymax,FOB
2024-08-01,Itaqui,Netherlands,37463,30.8,Supramax,CFR
2024-08-01,Itaqui,Spain,14471,37.42,Handymax,CIF
2024-08-01,Itaqui,Thailand,26492,30.75,Kamsarmax,CIF
2024-08-01,Itaqui,Turkey,10776,26.4,Panamax,CIF
2024-08-01,Itaqui,Egypt,29617,30.07,Panamax,FOB
2024-08-01,Itaqui,Mexico,20707,30.54,Supramax,CFR
2024-08-01,Sao Francisco do Sul,China,115223,47.0,Kamsarmax,FOB
2024-08-01,Sao Francisco do Sul,Netherlands,33097,26.34,Kamsarmax,CFR
2024-08-01,Sao Francisco do Sul,Spain,15430,33.38,Kamsarmax,CIF
2024-08-01,Sao Francisco do Sul,Thailand,7381,38.27,Handymax,CFR
2024-08-01,Sao Francisco do Sul,Vietnam,11958,30.54,Handymax,FOB
2024-08-01,Sao Francisco do Sul,Egypt,10922,27.93,Panamax,FOB
2024-08-01,Sao Francisco do Sul,Mexico,21498,40.74,Supramax,CIF
2024-08-01,Barcarena,China,34082,49.06,Panamax,CFR
2024-08-01,Barcarena,Netherlands,17486,28.31,Panamax,CIF
2024-08-01,Barcarena,Spain,20077,28.76,Panamax,FOB
2024-08-01,Barcarena,Thailand,27472,41.55,Panamax,FOB
2024-08-01,Barcarena,Vietnam,31789,35.22,Kamsarmax,FOB
2024-08-01,Barcarena,Turkey,17549,28.37,Supramax,CFR
2024-08-01,Barcarena,Mexico,7235,39.48,Kamsarmax,FOB
2024-09-01,Santos,China,125136,40.15,Supramax,CFR
2024-09-01,Santos,Netherlands,42372,29.32,Handymax,FOB
2024-09-01,Santos,Spain,51643,32.77,Handymax,CFR
2024-09-01,Santos,Thailand,79366,33.06,Kamsarmax,FOB
2024-09-01,Santos,Turkey,45139,28.24,Handymax,CFR
2024-09-01,Santos,Egypt,36823,30.98,Handymax,CFR
2024-09-01,Santos,Mexico,14543,41.61,Panamax,CIF
2024-09-01,Paranagua,China,83082,38.39,Supramax,FOB
2024-09-01,Paranagua,Netherlands,45142,35.88,Kamsarmax,FOB
2024-09-01,Paranagua,Spain,54468,29.48,Supramax,CIF
2024-09-01,Paranagua,Thailand,17042,34.62,Handymax,CIF
2024-09-01,Paranagua,Turkey,26913,31.58,Handymax,CIF
2024-09-01,Paranagua,Egypt,18080,26.79,Kamsarmax,CIF
2024-09-01,Paranagua,Mexico,44195,40.98,Supramax,CIF
2024-09-01,Rio Grande,China,66120,46.5,Panamax,CIF
2024-09-01,Rio Grande,Netherlands,31180,30.7,Handymax,FOB
2024-09-01,Rio Grande,Vietnam,27328,40.76,Kamsarmax,CIF
2024-09-01,Rio Grande,Turkey,17596,37.02,Panamax,FOB
2024-09-01,Rio Grande,Egypt,8550,31.28,Handymax,CIF
2024-09-01,Itaqui,Thailand,20075,35.28,Supramax,CIF
2024-09-01,Itaqui,Vietnam,28007,33.61,Panamax,CIF
2024-09-01,Itaqui,Turkey,27745,36.17,Supramax,CFR
2024-09-01,Itaqui,Mexico,17912,31.51,Supramax,CIF
2024-09-01,Sao Francisco do Sul,China,102442,47.99,Panamax,CIF
2024-09-01,Sao Francisco do Sul,Netherlands,31868,34.32,Panamax,CFR
2024-09-01,Sao Francisco do Sul,Thailand,5414,42.62,Supramax,FOB
2024-09-01,Sao Francisco do Sul,Vietnam,23415,41.3,Handymax,CFR
2024-09-01,Sao Francisco do Sul,Turkey,12602,28.64,Panamax,CIF
2024-09-01,Sao Francisco do Sul,Egypt,13696,26.6,Handymax,CIF
2024-09-01,Sao Francisco do Sul,Mexico,9362,30.18,Supramax,FOB
2024-09-01,Barcarena,China,29127,49.23,Supramax,FOB
2024-09-01,Barcarena,Netherlands,23970,33.12,Panamax,CIF
2024-09-01,Barcarena,Spain,15905,28.1,Kamsarmax,CIF
2024-09-01,Barcarena,Thailand,13075,43.8,Supramax,CFR
2024-09-01,Barcarena,Vietnam,20538,35.59,Supramax,CIF
2024-09-01,Barcarena,Turkey,6191,30.01,Kamsarmax,FOB
2024-09-01,Barcarena,Egypt,6517,34.16,Panamax,CFR
2024-09-01,Barcarena,Mexico,11848,31.77,Supramax,CFR
2024-10-01,Santos,China,90168,36.46,Handymax,CFR
2024-10-01,Santos,Spain,42897,27.49,Panamax,CIF
2024-10-01,Santos,Thailand,45103,40.16,Kamsarmax,CIF
2024-10-01,Santos,Turkey,19242,31.38,Panamax,CFR
2024-10-01,Paranagua,China,85712,50.31,Handymax,FOB
2024-10-01,Paranagua,Netherlands,22186,32.75,Kamsarmax,FOB
2024-10-01,Paranagua,Spain,51398,30.48,Supramax,FOB
2024-10-01,Paranagua,Thailand,27781,40.72,Supramax,FOB
2024-10-01,Paranagua,Turkey,13639,26.07,Supramax,CIF
2024-10-01,Paranagua,Mexico,30313,37.27,Panamax,FOB
2024-10-01,Rio Grande,Netherlands,39528,31.59,Supramax,CIF
2024-10-01,Rio Grande,Spain,16141,32.18,Supramax,CIF
2024-10-01,Rio Grande,Vietnam,29879,34.92,Panamax,FOB
2024-10-01,Rio Grande,Turkey,30829,32.18,Supramax,CFR
2024-10-01,Rio Grande,Egypt,18451,29.65,Panamax,CIF
2024-10-01,Rio Grande,Mexico,16615,40.93,Kamsarmax,FOB
2024-10-01,Itaqui,China,22240,50.51,Panamax,CIF
2024-10-01,Itaqui,Netherlands,24009,32.6,Panamax,FOB
2024-10-01,Itaqui,Spain,18258,28.1,Supramax,CIF
2024-10-01,Itaqui,Thailand,21845,39.21,Kamsarmax,CFR
2024-10-01,Itaqui,Vietnam,12398,38.47,Supramax,CIF
2024-10-01,Itaqui,Turkey,16063,37.68,Kamsarmax,CFR
2024-10-01,Itaqui,Egypt,21872,30.43,Supramax,FOB
2024-10-01,Itaqui,Mexico,28828,30.86,Handymax,CFR
2024-10-01,Sao Francisco do Sul,China,65293,44.49,Kamsarmax,CFR
2024-10-01,Sao Francisco do Sul,Netherlands,14540,35.77,Supramax,FOB
2024-10-01,Sao Francisco do Sul,Thailand,16494,42.73,Kamsarmax,CFR
2024-10-01,Sao Francisco do Sul,Vietnam,17565,40.31,Handymax,FOB
2024-10-01,Sao Francisco do Sul,Turkey,10443,27.5,Kamsarmax,CIF
2024-10-01,Sao Francisco do Sul,Egypt,3503,35.7,Handymax,CIF
2024-10-01,Sao Francisco do Sul,Mexico,10806,39.77,Handymax,CFR
2024-10-01,Barcarena,Netherlands,35126,28.76,Panamax,FOB
2024-10-01,Barcarena,Spain,23727,37.25,Panamax,CIF
2024-10-01,Barcarena,Thailand,6232,35.41,Panamax,CFR
2024-10-01,Barcarena,Vietnam,12204,40.58,Handymax,CIF
2024-10-01,Barcarena,Turkey,15524,31.55,Panamax,FOB
2024-10-01,Barcarena,Egypt,31036,27.52,Panamax,FOB
2024-10-01,Barcarena,Mexico,10703,33.94,Supramax,FOB
